Price,Close,High,Low,Open,Volume
Ticker,TAN,TAN,TAN,TAN,TAN
Date,,,,,
2023-11-20,46.755252838134766,47.08332682173013,45.32366658200278,46.01957798977702,1005700
2023-11-21,45.77103805541992,46.526596513395965,45.65173635751946,46.27805699805473,772400
2023-11-22,45.79092025756836,46.4570043177543,45.631855124358886,46.33770641595017,806800
2023-11-24,45.21430587768555,45.542379841618775,45.07512436295454,45.34354748096941,1231700
2023-11-27,44.3692741394043,45.075125433685336,44.27979976460727,44.8265859250727,2158300
2023-11-28,45.025421142578125,45.22425352054565,43.7926634331092,44.200268101357146,801500
2023-11-29,45.57220458984375,46.3178231179548,45.28389784879528,45.4926701264875,1152100
2023-11-30,45.57220458984375,45.9002747701584,44.766935214215515,45.45290668722133,937800
2023-12-01,47.59034729003906,47.66988175857225,44.87629612614531,45.10495203455993,1417500
2023-12-04,47.46110534667969,48.34590537402526,47.11314776567525,47.46110534667969,3032400
2023-12-05,46.95408248901367,47.6599337679162,46.56636147081121,46.78507744719695,2409400
2023-12-06,46.307884216308594,47.9084755059397,46.27805689569344,47.18274057783798,1876900
2023-12-07,46.37747573852539,46.655838786090435,46.07922528194902,46.24823412683644,573700
2023-12-08,45.55232238769531,46.96402881678462,45.04530344150601,46.20846656109962,877000
2023-12-11,45.542381286621094,45.88039517272622,44.74705181878883,44.9458841857469,1037100
2023-12-12,44.20026397705078,45.204365685509046,43.38505471662168,45.00553332609448,1468500
2023-12-13,46.66577911376953,46.71549005191636,43.245876668899626,43.63359771500727,3305300
2023-12-14,50.46345901489258,51.45761702678292,48.61432829840249,48.61432829840249,4123600
2023-12-15,51.477500915527344,52.07399800127689,50.23480339406396,51.626626135067696,2486400
2023-12-18,50.351070404052734,51.52526566560193,49.50525352056612,50.530185192826735,1424000
2023-12-19,52.689510345458984,52.8686251293134,51.167034682696446,51.32625119806095,1629200
2023-12-20,50.390872955322266,52.94822938656221,50.311268493878124,52.94822938656221,1646200
2023-12-21,52.79896926879883,52.958181986625426,51.5352166603306,51.5352166603306,1153600
2023-12-22,52.33128356933594,53.10744514348859,51.92330071677738,52.83877295337478,848600
2023-12-26,53.396018981933594,53.64478910462168,52.182019568517866,52.231776629800144,1462200
2023-12-27,53.41592025756836,53.734345706227096,53.047741544293714,53.63483917699528,1078600
2023-12-28,53.95326614379883,54.35129606785669,53.32636436339238,53.32636436339238,672500
2023-12-29,53.08754348754883,54.12242812502319,53.00793902093667,53.58508374065025,616300
2024-01-02,51.813838958740234,53.1571960538548,51.47551145239521,52.14221733075041,2920300
2024-01-03,49.83363342285156,50.679450332208525,48.71914052618506,50.669497401455125,2319200
2024-01-04,48.53007507324219,49.734121533296396,48.50022387378108,49.734121533296396,1088000
2024-01-05,48.05243682861328,49.20673002248747,47.525041598046705,48.03253476369277,1768900
2024-01-08,48.05243682861328,48.510172933992706,47.21656908160572,48.042483898187655,1182600
2024-01-09,47.6743049621582,48.012632472349814,46.84839014947119,47.70415616143281,640900
2024-01-10,48.0225830078125,48.05243800388883,46.90809391652095,47.554897756499464,981200
2024-01-11,46.77873229980469,48.122093242743304,46.04237486079908,47.80366778869804,2865900
2024-01-12,46.22148895263672,47.94297772370564,46.09212742766311,47.56484607928396,770500
2024-01-16,44.05221176147461,45.44532210710005,43.98255643398987,45.30601145213057,2162000
2024-01-17,42.67900085449219,43.16659195618463,42.300869212114215,42.8282644437266,1597600
2024-01-18,43.057132720947266,43.584524159373544,42.71880520672852,43.584524159373544,738600
2024-01-19,42.6889533996582,42.85811525639511,41.50480521877699,42.78845992762924,1720500
2024-01-22,43.345706939697266,45.05724277870858,42.78846050610593,42.78846050610593,1152000
2024-01-23,44.66916275024414,45.5050305167033,43.98255857619694,44.82837547738251,1803700
2024-01-24,43.813392639160156,45.82345567892789,43.75369023932055,45.584638487707835,943600
2024-01-25,43.66413116455078,44.11191812578251,42.50983799555937,43.85319508332388,780400
2024-01-26,42.97752380371094,44.02236132595582,42.89791934060441,43.43526370131366,873200
2024-01-29,43.83329391479492,43.932804239286355,42.10185602388215,42.549639198336,1386500
2024-01-30,43.00737762451172,43.62432643148188,42.71880338727722,43.43526251532684,928800
2024-01-31,42.16156005859375,44.52985273035365,42.09190472671236,43.0670831689827,2152100
2024-02-01,43.206390380859375,44.29102819969724,42.44018179137876,43.39545809165873,1391500
2024-02-02,42.07200241088867,42.31082340158408,41.34559409992265,42.25111720492751,1705700
2024-02-05,40.897804260253906,41.15652729844324,39.95248088605691,41.13662523428017,2182000
2024-02-06,42.07200241088867,42.15161067309743,40.83810471409985,41.26598963364476,1300900
2024-02-07,43.942752838134766,44.83832676798745,42.90786825162293,44.291029479782644,2922700
2024-02-08,43.88304901123047,44.29103186885212,43.435265818081284,44.08206587259172,1433700
2024-02-09,45.266212463378906,45.52493171658603,43.78354088589695,44.10196633411992,1382300
2024-02-12,47.06730651855469,47.724059491523136,45.445324253522436,45.53488164965135,1166700
2024-02-13,44.27113342285156,45.46522699440468,43.53477217752498,44.360690820311135,1542600
2024-02-14,46.400604248046875,46.400604248046875,44.79852405399089,45.375668763516856,837100
2024-02-15,47.16681671142578,48.00268447427916,46.45035754442837,47.226519111388356,1457100
2024-02-16,46.62947082519531,47.25637257600391,46.37074778063844,46.97774746679415,1058200
2024-02-20,45.58463668823242,46.14187930970234,45.047292335303,45.9826665898637,915300
2024-02-21,44.539798736572266,44.878126237343935,43.91290079367555,44.191522101629644,920000
2024-02-22,42.440181732177734,44.559700308730356,42.420279668125005,44.48009584845003,1467800
2024-02-23,41.78343200683594,42.57949565034805,41.654070478536816,42.47998532245224,1325700
2024-02-26,41.77347946166992,42.519789846088365,41.23613507386522,41.54461139929331,836900
2024-02-27,42.35062789916992,42.649151293174306,41.823232647300244,42.29092170199668,581100
2024-02-28,41.80332946777344,42.64915015683598,41.693873803101845,42.31082264039712,935100
2024-02-29,42.93772506713867,44.06216329838145,42.38047862094402,42.95762333670736,774600
2024-03-01,43.96265411376953,44.271130416500334,42.75860769319001,43.18649258578118,1087700
2024-03-04,43.17654037475586,44.31093148714881,42.79840873864798,44.032310174190734,1118600
2024-03-05,42.78845977783203,43.50491892369356,42.14165596049252,42.61929792168735,1190100
2024-03-06,43.72383499145508,44.06216250700912,42.78846070536134,43.50491986675361,1153500
2024-03-07,44.74877166748047,44.87812940047342,44.09201868391996,44.141771950142704,622500
2024-03-08,45.54483413696289,46.370748963507204,45.13685129099818,45.77370219241326,1264000
2024-03-11,46.151832580566406,47.32602782151755,46.00256899389625,46.42050475901428,1477100
2024-03-12,44.400489807128906,45.87320845712112,44.092017288750135,45.87320845712112,1103700
2024-03-13,43.654178619384766,44.89802919159372,43.55467209198033,44.529850485080466,647400
2024-03-14,42.479984283447266,44.171621856992054,42.12175849957671,43.823345207702296,1553000
2024-03-15,42.34067153930664,42.808360556126445,42.08195229770392,42.310820341103025,886500
2024-03-18,42.58944320678711,43.10688550487605,41.89288612105467,42.340673090163435,1258900
2024-03-19,42.83821487426758,43.0670829343353,42.47998528601171,42.47998528601171,603800
2024-03-20,43.87309646606445,44.18157276699299,42.290918424918516,42.38047581577321,1221400
2024-03-21,44.17162322998047,44.917933612453936,43.972606368801365,44.01241050022337,757600
2024-03-22,43.813392639160156,44.30098374812489,43.574575447940106,44.03231156105422,569200
2024-03-25,43.23624801635742,44.03231164855761,43.146690620489224,43.42531194277659,781000
2024-03-26,42.8083610534668,43.684032904941986,42.77850985491638,43.33575247282098,717400
2024-03-27,45.16670227050781,45.196553470137694,43.02728152124557,43.02728152124557,2099600
2024-03-28,45.14680099487305,45.90306429678734,44.77862227458708,45.176655990955744,1223600
2024-04-01,44.8482780456543,45.67419668664815,44.53980172264498,45.057244040629534,1206900
2024-04-02,43.17654037475586,44.141769631690174,42.97752352438694,43.74373593095233,1573900
2024-04-03,43.66413116455078,43.77359062128861,42.46008093636532,42.55959125882275,762800
2024-04-04,43.504920959472656,45.236358915085034,43.30590409898376,44.2114272080739,1084500
2024-04-05,42.91781997680664,43.55467084418358,42.73870519586555,42.92776911088977,569400
2024-04-08,43.52482223510742,44.03231161400847,43.18649471719645,43.18649471719645,460900
2024-04-09,45.29606246948242,45.365717797200276,43.65417821114856,43.89299918898883,1078700
2024-04-10,43.75368881225586,43.94275273213282,43.01732760549432,43.57457402671739,1699700
2024-04-11,43.46511459350586,44.58955657091566,42.868067838666164,44.10196547758305,1201900
2024-04-12,41.78343200683594,43.61438028487923,41.6441175477818,43.037231770876154,1415100
2024-04-15,40.400264739990234,41.922740409284536,40.26095408437927,41.54460877553287,1198800
2024-04-16,39.544498443603516,40.13159605634417,39.385285724687265,39.912677144360345,2256000
2024-04-17,39.90272521972656,40.64903557018976,39.6539551029055,39.90272521972656,2488300
2024-04-18,39.504695892333984,40.330610718462886,39.41513849712186,40.022138198456176,2738900
2024-04-19,39.39523696899414,39.663909158292974,39.17631804528454,39.365385768826776,1164300
2024-04-22,39.75346374511719,39.942527659366334,38.91759603612897,39.524595702837516,1131900
2024-04-23,40.300758361816406,40.927660110305254,39.48479269372075,39.76341400596882,1518700
2024-04-24,40.1116943359375,41.0868727221528,39.683809438444065,40.13159640046402,1425900
2024-04-25,39.59425354003906,39.683810935822294,38.638977182305105,39.31562842208521,1211900
2024-04-26,40.56943130493164,40.88785675234412,39.80321888586701,39.87287421524282,832100
2024-04-29,41.41524887084961,41.813282584644426,41.08687428351008,41.09682341818608,640800
2024-04-30,40.131595611572266,40.848050940789705,40.091791483301684,40.58933169889214,882900
2024-05-01,40.101741790771484,41.51475801827679,39.922627004243616,39.922627004243616,996100
2024-05-02,41.285888671875,41.33564193414184,40.032085205539296,40.668936072788284,724700
2024-05-03,42.69890213012695,43.37555714253447,42.14165570934115,42.42028081769939,1338900
2024-05-06,43.0372314453125,43.28600156927384,42.83821458695726,42.83821458695726,569500
2024-05-07,42.848167419433594,43.46511626258311,42.81831242339368,43.02728221194972,464700
2024-05-08,42.271018981933594,42.41032964391711,41.683921337909624,42.40038050917436,553400
2024-05-09,42.98747634887695,43.007378413457936,41.92274056734379,42.24116600877816,581300
2024-05-10,41.853084564208984,43.63427566227452,41.76352717300441,43.285999027551526,1078500
2024-05-13,42.559593200683594,43.41536303321017,42.3207722118198,42.479984939085384,511300
2024-05-14,43.55467224121094,44.33083378623085,42.98747668201474,43.91290181458342,1602500
2024-05-15,43.514869689941406,44.977639235620664,43.116839768593415,44.75872031152422,724200
2024-05-16,43.11684036254883,43.95270434767329,42.82826610334296,43.644231818667144,509000
2024-05-17,42.4003791809082,42.977523876178516,42.3406729865296,42.89791941293777,1003600
2024-05-20,42.06205368041992,42.45013447259107,41.84313475317224,42.40038120619775,1040200
2024-05-21,42.69890213012695,42.73870625931109,41.71377081043843,41.7933790688067,1349200
2024-05-22,46.52996063232422,47.12701118579197,42.9576216296295,43.086983152270456,3984700
2024-05-23,44.917930603027344,46.440402466572245,44.619407229224706,46.440402466572245,2820300
2024-05-24,47.26632308959961,47.32602928530051,44.98758786541446,44.98758786541446,2237700
2024-05-28,47.3857307434082,48.41066620495309,47.047403233021384,48.012632500051865,3388200
